Age Group,Gender,Education,Monthly Income,City,Employment Status,Shopping Frequency,Avg Spend per Visit,Preferred Payment,Product Categories,Offer Sensitivity,Local vs Intl Brands,Preferred Shopping Time,Loyalty Program Member,Loyalty Usage Frequency,Satisfaction Score (1-10),Would Recommend,Preferred Rewards,Suggested Improvement,Willing to Try New Service,Willingness to Pay (custom services),Switch for Better Tech,Shopping Challenges,Importance Scores,Loyalty Features Desired
18–25,Female,Bachelor's,50k–100k,City B,Employed,Weekly,508.8,Mobile Wallet,"Dairy, Beverages, Fresh Produce",Strongly,Sometimes,Night,Yes,Never,4,Yes,"Priority Checkout, Points",Faster billing,Maybe,197.65,Yes,Long queues,"3,5,2,1,5",More Points
46–60,Male,Master's,50k–100k,City B,Homemaker,Bi-weekly,616.25,Credit Card,"Frozen Foods, Household Supplies",Strongly,Sometimes,Afternoon,Yes,Rarely,2,Yes,"Exclusive Discounts, Priority Checkout",More offers,Yes,47.35,Yes,"Product unavailability, Lack of variety, Price inconsistency","4,3,3,4,3",Cashback
36–45,Male,Bachelor's,10k–30k,City C,Student,Weekly,616.06,Mobile Wallet,"Beverages, Household Supplies",Strongly,Sometimes,Afternoon,No,Rarely,2,Yes,"Cashback, Exclusive Discounts",Better variety,Yes,69.4,Yes,"Lack of variety, Product unavailability, Price inconsistency","4,5,2,1,3",Personalized Offers
26–35,Male,Bachelor's,30k–50k,City C,Homemaker,Weekly,559.28,Cash,Dairy,Strongly,Always,Night,No,Never,4,Yes,"Priority Checkout, Points",Better variety,Maybe,122.0,Depends,"Poor customer service, Long queues, Price inconsistency","4,3,2,2,3",More Points
18–25,Non-binary,Doctorate,10k–30k,City D,Unemployed,Daily,456.52,Others,"Fresh Produce, Frozen Foods, Beverages",Slightly,Sometimes,Morning,Yes,Always,1,Yes,"Points, Priority Checkout",More offers,Yes,51.87,Yes,Poor customer service,"3,5,5,3,3",Instant Discounts
36–45,Female,Bachelor's,10k–30k,City D,Employed,Weekly,589.02,Credit Card,"Frozen Foods, Household Supplies, Beverages",Moderately,Sometimes,Morning,No,Rarely,4,Maybe,"Priority Checkout, Free Products",Faster billing,Maybe,94.63,Depends,"Long queues, Poor customer service, Product unavailability","4,3,5,3,3",Personalized Offers
36–45,Female,Bachelor's,10k–30k,City A,Self-employed,Monthly,488.96,Credit Card,Frozen Foods,Moderately,Never,Night,Yes,Rarely,6,Maybe,"Exclusive Discounts, Free Products",Faster billing,Yes,194.69,Yes,Poor customer service,"3,3,4,3,5",Personalized Offers
26–35,Female,Doctorate,10k–30k,City D,Employed,Bi-weekly,370.17,UPI,Snacks,Not at all,Sometimes,Evening,No,Sometimes,6,Yes,"Points, Exclusive Discounts",More offers,No,163.29,Depends,Lack of variety,"4,5,3,2,5",Instant Discounts
46–60,Male,Master's,30k–50k,City B,Employed,Rarely,451.61,Credit Card,Snacks,Strongly,Sometimes,Morning,Yes,Rarely,7,No,"Free Products, Cashback",More offers,Maybe,169.77,Yes,"Product unavailability, Long queues","4,4,2,4,4",Personalized Offers
36–45,Female,High school,50k–100k,City D,Employed,Weekly,510.14,UPI,Fresh Produce,Not at all,Sometimes,Morning,Yes,Sometimes,5,Yes,"Exclusive Discounts, Points",Faster billing,No,60.93,Depends,"Lack of variety, Poor customer service, Product unavailability","4,5,2,4,5",Personalized Offers
18–25,Male,High school,10k–30k,City B,Homemaker,Weekly,609.23,Mobile Wallet,"Beverages, Snacks",Moderately,Always,Night,Yes,Rarely,9,Yes,"Priority Checkout, Cashback",Improved customer service,Maybe,15.25,Yes,"Product unavailability, Lack of variety","5,3,5,2,3",Personalized Offers
26–35,Female,High school,30k–50k,City D,Unemployed,Weekly,477.98,UPI,"Beverages, Snacks, Fresh Produce",Moderately,Sometimes,Night,Yes,Sometimes,2,Maybe,"Priority Checkout, Exclusive Discounts",Faster billing,Yes,94.26,No,"Price inconsistency, Product unavailability","5,4,3,1,4",More Points
18–25,Male,Master's,30k–50k,City D,Unemployed,Weekly,354.9,Cash,Beverages,Moderately,Sometimes,Afternoon,Yes,Sometimes,2,Maybe,"Points, Cashback",Faster billing,Yes,0.0,Yes,Product unavailability,"5,3,2,3,4",More Points
36–45,Female,Bachelor's,10k–30k,City A,Employed,Weekly,506.81,UPI,"Frozen Foods, Snacks, Household Supplies",Moderately,Always,Morning,No,Always,4,No,"Free Products, Priority Checkout",Improved customer service,Yes,147.16,No,Price inconsistency,"3,3,4,1,5",Cashback
18–25,Male,High school,30k–50k,City C,Retired,Monthly,513.61,UPI,"Fresh Produce, Snacks",Moderately,Never,Night,Yes,Always,4,No,"Cashback, Priority Checkout",More offers,Yes,164.84,Yes,"Long queues, Poor customer service","4,5,3,5,4",Personalized Offers
26–35,Male,Other,10k–30k,City D,Homemaker,Rarely,522.3,Credit Card,Dairy,Slightly,Always,Afternoon,No,Always,4,Yes,"Free Products, Cashback",Improved customer service,Maybe,72.86,No,Lack of variety,"3,5,4,2,5",Cashback
36–45,Female,Bachelor's,30k–50k,City D,Employed,Rarely,610.38,Cash,Beverages,Slightly,Never,Afternoon,No,Always,1,No,"Free Products, Cashback",Faster billing,Yes,154.93,No,Price inconsistency,"4,5,5,4,4",More Points
46–60,Male,Bachelor's,30k–50k,City A,Student,Weekly,622.27,Credit Card,Fresh Produce,Strongly,Sometimes,Evening,Yes,Sometimes,4,No,"Points, Cashback",Improved customer service,No,154.6,Depends,"Product unavailability, Long queues","5,5,5,3,4",Cashback
26–35,Male,Bachelor's,10k–30k,City C,Employed,Monthly,428.69,Others,"Snacks, Beverages, Frozen Foods",Slightly,Always,Afternoon,Yes,Always,5,Yes,"Free Products, Points",Faster billing,Maybe,52.73,No,"Lack of variety, Price inconsistency","4,5,4,1,4",Instant Discounts
46–60,Male,Master's,10k–30k,City B,Unemployed,Weekly,426.06,Credit Card,"Snacks, Beverages",Slightly,Sometimes,Evening,No,Always,9,No,"Cashback, Priority Checkout",Better variety,Yes,96.01,Yes,"Long queues, Lack of variety, Product unavailability","4,5,2,3,4",Instant Discounts
18–25,Male,High school,30k–50k,City A,Self-employed,Weekly,375.18,Mobile Wallet,Fresh Produce,Moderately,Sometimes,Night,No,Rarely,3,Yes,"Cashback, Points",More offers,Maybe,91.93,Yes,"Product unavailability, Price inconsistency, Long queues","4,3,4,4,3",Cashback
46–60,Female,Bachelor's,50k–100k,City B,Homemaker,Monthly,583.86,Cash,"Fresh Produce, Beverages",Slightly,Sometimes,Night,No,Rarely,3,Maybe,"Cashback, Priority Checkout",Improved customer service,Maybe,175.97,No,"Product unavailability, Long queues, Price inconsistency","5,3,4,4,5",Instant Discounts
18–25,Female,Master's,10k–30k,City A,Employed,Bi-weekly,673.86,Credit Card,"Snacks, Beverages",Moderately,Sometimes,Afternoon,No,Rarely,5,Yes,"Priority Checkout, Exclusive Discounts",Faster billing,Yes,163.94,Yes,"Price inconsistency, Lack of variety","4,5,3,1,5",More Points
26–35,Female,Bachelor's,30k–50k,City D,Homemaker,Weekly,462.19,Mobile Wallet,"Snacks, Frozen Foods",Moderately,Always,Afternoon,Yes,Never,10,Yes,"Free Products, Cashback",Better variety,Yes,154.34,Depends,"Product unavailability, Lack of variety","4,3,4,1,4",More Points
36–45,Female,Bachelor's,30k–50k,City B,Student,Weekly,471.03,Others,"Snacks, Fresh Produce, Frozen Foods",Strongly,Never,Afternoon,No,Always,6,Yes,"Points, Priority Checkout",More offers,Yes,86.33,Yes,Lack of variety,"4,5,3,2,3",Personalized Offers
18–25,Male,Bachelor's,50k–100k,City D,Employed,Weekly,676.01,Mobile Wallet,"Household Supplies, Snacks",Strongly,Sometimes,Afternoon,Yes,Always,3,Yes,"Cashback, Points",Improved customer service,Maybe,201.94,Yes,"Lack of variety, Product unavailability, Price inconsistency","5,5,4,1,4",Instant Discounts
18–25,Female,High school,50k–100k,City A,Self-employed,Monthly,560.67,UPI,Household Supplies,Slightly,Always,Afternoon,Yes,Sometimes,1,Maybe,"Free Products, Cashback",Better variety,Yes,130.87,No,"Poor customer service, Price inconsistency, Product unavailability","5,5,2,5,5",More Points
36–45,Male,High school,30k–50k,City B,Student,Bi-weekly,552.35,Mobile Wallet,"Snacks, Beverages, Frozen Foods",Moderately,Never,Afternoon,No,Never,10,Yes,"Priority Checkout, Points",More offers,Maybe,149.73,Yes,Product unavailability,"5,3,2,1,3",Personalized Offers
36–45,Male,Bachelor's,30k–50k,City A,Retired,Rarely,357.09,Cash,"Fresh Produce, Beverages",Not at all,Sometimes,Morning,No,Rarely,8,Yes,"Cashback, Points",More offers,Yes,223.84,No,"Lack of variety, Long queues","4,4,5,3,4",More Points
36–45,Female,Bachelor's,50k–100k,City A,Employed,Weekly,581.45,Credit Card,"Fresh Produce, Household Supplies",Not at all,Sometimes,Morning,No,Sometimes,1,Yes,"Exclusive Discounts, Free Products",Faster billing,Maybe,159.74,Yes,"Poor customer service, Lack of variety","3,5,2,5,5",Instant Discounts
36–45,Male,High school,10k–30k,City A,Self-employed,Weekly,388.5,Mobile Wallet,"Snacks, Fresh Produce, Frozen Foods",Moderately,Sometimes,Afternoon,Yes,Always,2,Maybe,"Cashback, Priority Checkout",More offers,Maybe,112.81,Yes,Product unavailability,"4,5,5,2,3",Instant Discounts
26–35,Female,Master's,10k–30k,City A,Employed,Bi-weekly,363.92,Others,"Dairy, Frozen Foods, Fresh Produce",Slightly,Sometimes,Evening,No,Rarely,3,Maybe,"Exclusive Discounts, Points",Faster billing,Maybe,90.12,Depends,"Poor customer service, Long queues, Lack of variety","5,4,3,4,4",More Points
26–35,Male,Other,<10k,City C,Self-employed,Bi-weekly,458.39,UPI,"Dairy, Beverages",Moderately,Always,Evening,No,Sometimes,6,Maybe,"Free Products, Exclusive Discounts",Improved customer service,Yes,15.97,Yes,"Lack of variety, Price inconsistency, Long queues","4,3,2,2,3",Instant Discounts
26–35,Female,Master's,50k–100k,City B,Student,Weekly,429.7,Credit Card,Fresh Produce,Strongly,Sometimes,Afternoon,No,Sometimes,4,Maybe,"Exclusive Discounts, Points",Better variety,Yes,26.02,No,Price inconsistency,"3,4,5,5,5",Cashback
18–25,Female,Doctorate,50k–100k,City B,Student,Monthly,473.41,Credit Card,"Dairy, Beverages",Strongly,Never,Evening,Yes,Never,4,Yes,"Cashback, Free Products",Improved customer service,Yes,171.35,Yes,"Poor customer service, Long queues","5,3,3,3,3",More Points
46–60,Female,Bachelor's,10k–30k,City B,Unemployed,Monthly,327.08,Credit Card,"Fresh Produce, Frozen Foods, Household Supplies",Strongly,Always,Evening,No,Sometimes,9,Yes,"Points, Exclusive Discounts",Faster billing,Yes,1.45,No,Price inconsistency,"3,4,3,1,4",More Points
26–35,Female,Other,30k–50k,City D,Employed,Rarely,615.06,UPI,"Dairy, Snacks, Beverages",Not at all,Sometimes,Afternoon,Yes,Never,6,Yes,"Points, Free Products",Better variety,Yes,180.68,Yes,"Poor customer service, Long queues","5,5,2,5,4",Instant Discounts
26–35,Female,High school,30k–50k,City D,Retired,Monthly,635.32,UPI,"Dairy, Frozen Foods",Moderately,Sometimes,Morning,No,Sometimes,2,No,"Free Products, Priority Checkout",Faster billing,Maybe,168.2,Yes,"Long queues, Poor customer service, Lack of variety","5,4,2,1,3",Instant Discounts
26–35,Male,Other,10k–30k,City B,Unemployed,Monthly,266.32,UPI,Household Supplies,Slightly,Sometimes,Evening,No,Rarely,7,Maybe,"Cashback, Points",Faster billing,Maybe,68.1,Yes,"Poor customer service, Long queues","3,3,2,4,4",Instant Discounts
46–60,Female,Other,>100k,City B,Employed,Bi-weekly,617.41,Credit Card,"Household Supplies, Dairy",Moderately,Never,Afternoon,No,Rarely,3,Yes,"Exclusive Discounts, Points",Better variety,Yes,130.89,Yes,Lack of variety,"4,4,5,1,4",Personalized Offers
18–25,Male,Master's,10k–30k,City A,Employed,Monthly,402.74,Mobile Wallet,"Household Supplies, Fresh Produce, Beverages",Slightly,Sometimes,Morning,Yes,Sometimes,9,Yes,"Points, Free Products",Faster billing,Maybe,154.57,Depends,"Product unavailability, Price inconsistency","4,5,2,5,3",Cashback
26–35,Female,Other,<10k,City D,Self-employed,Weekly,602.84,Mobile Wallet,"Household Supplies, Beverages",Not at all,Always,Night,Yes,Rarely,6,Yes,"Points, Exclusive Discounts",Improved customer service,Yes,125.52,Yes,"Poor customer service, Lack of variety, Product unavailability","5,3,2,2,5",Cashback
26–35,Female,Bachelor's,30k–50k,City A,Unemployed,Weekly,491.79,Credit Card,"Dairy, Snacks, Frozen Foods",Moderately,Sometimes,Afternoon,Yes,Rarely,8,Maybe,"Exclusive Discounts, Points",Faster billing,Yes,193.87,Depends,"Long queues, Lack of variety, Product unavailability","5,4,3,2,4",Cashback
36–45,Female,Bachelor's,30k–50k,City B,Unemployed,Weekly,503.45,Mobile Wallet,"Fresh Produce, Snacks",Strongly,Always,Evening,Yes,Rarely,1,Yes,"Priority Checkout, Cashback",Improved customer service,Maybe,36.47,Yes,"Poor customer service, Lack of variety, Product unavailability","5,4,5,5,5",Personalized Offers
18–25,Male,Bachelor's,<10k,City B,Employed,Bi-weekly,477.79,Cash,"Household Supplies, Frozen Foods, Beverages",Strongly,Sometimes,Afternoon,No,Always,2,Maybe,"Points, Priority Checkout",Better variety,Maybe,150.25,Yes,"Product unavailability, Poor customer service","5,4,3,1,4",Personalized Offers
46–60,Male,Bachelor's,30k–50k,City B,Homemaker,Weekly,645.46,Cash,Household Supplies,Moderately,Always,Morning,Yes,Sometimes,6,Yes,"Cashback, Free Products",Faster billing,Yes,83.47,Yes,"Long queues, Price inconsistency, Lack of variety","5,4,5,4,3",Personalized Offers
46–60,Female,High school,30k–50k,City A,Student,Rarely,351.25,UPI,Snacks,Moderately,Sometimes,Morning,Yes,Sometimes,3,Yes,"Free Products, Points",Faster billing,Maybe,15.71,Yes,"Poor customer service, Lack of variety, Long queues","5,5,3,5,3",More Points
26–35,Male,Master's,10k–30k,City D,Unemployed,Weekly,572.94,UPI,"Snacks, Frozen Foods",Moderately,Sometimes,Evening,No,Never,1,No,"Exclusive Discounts, Cashback",Faster billing,Maybe,50.39,Yes,"Price inconsistency, Product unavailability","4,5,4,4,4",Instant Discounts
36–45,Male,Other,10k–30k,City A,Unemployed,Weekly,632.16,Credit Card,Fresh Produce,Moderately,Sometimes,Morning,Yes,Never,6,Yes,"Cashback, Exclusive Discounts",More offers,Yes,88.53,Yes,Lack of variety,"5,5,5,3,4",Instant Discounts
46–60,Male,High school,30k–50k,City C,Employed,Bi-weekly,585.96,Mobile Wallet,Dairy,Not at all,Sometimes,Morning,No,Always,5,No,"Free Products, Priority Checkout",Improved customer service,Yes,121.4,No,"Product unavailability, Price inconsistency, Lack of variety","3,3,3,3,5",Instant Discounts
36–45,Female,Master's,10k–30k,City A,Employed,Weekly,778.96,Credit Card,"Fresh Produce, Household Supplies",Strongly,Always,Night,Yes,Always,9,Yes,"Points, Priority Checkout",Improved customer service,Maybe,65.93,Yes,"Price inconsistency, Poor customer service, Long queues","4,4,4,3,4",Instant Discounts
18–25,Female,Doctorate,50k–100k,City A,Student,Weekly,436.53,UPI,"Snacks, Household Supplies, Beverages",Moderately,Never,Afternoon,Yes,Never,6,Yes,"Points, Exclusive Discounts",More offers,Maybe,89.63,Yes,"Long queues, Lack of variety","5,5,2,2,4",More Points
26–35,Male,Doctorate,50k–100k,City D,Employed,Weekly,614.88,UPI,"Household Supplies, Beverages, Fresh Produce",Slightly,Sometimes,Morning,No,Sometimes,5,Yes,"Points, Cashback",Improved customer service,Yes,96.24,Yes,"Lack of variety, Poor customer service","5,3,5,2,4",Instant Discounts
36–45,Male,Other,>100k,City A,Retired,Bi-weekly,487.27,UPI,"Snacks, Household Supplies, Fresh Produce",Not at all,Never,Afternoon,Yes,Sometimes,1,Maybe,"Exclusive Discounts, Points",More offers,Yes,67.23,Depends,"Price inconsistency, Lack of variety","5,4,5,3,3",Personalized Offers
26–35,Male,Bachelor's,10k–30k,City D,Employed,Weekly,648.01,UPI,Snacks,Slightly,Sometimes,Evening,Yes,Always,1,Maybe,"Free Products, Priority Checkout",Better variety,No,86.01,Yes,Product unavailability,"3,4,4,1,4",More Points
36–45,Female,Other,>100k,City C,Student,Monthly,499.08,Credit Card,"Frozen Foods, Dairy",Moderately,Sometimes,Afternoon,Yes,Sometimes,1,Yes,"Exclusive Discounts, Cashback",Faster billing,Maybe,154.38,Depends,Long queues,"4,4,4,5,5",Personalized Offers
46–60,Female,Master's,30k–50k,City A,Employed,Monthly,453.45,Credit Card,Fresh Produce,Strongly,Sometimes,Morning,Yes,Rarely,7,Yes,"Points, Cashback",More offers,No,218.94,Yes,"Poor customer service, Long queues","5,4,3,1,4",Instant Discounts
46–60,Male,High school,10k–30k,City D,Unemployed,Weekly,656.73,Mobile Wallet,"Beverages, Snacks",Moderately,Sometimes,Afternoon,No,Sometimes,6,Yes,"Points, Exclusive Discounts",More offers,Yes,132.5,Yes,"Poor customer service, Lack of variety, Price inconsistency","4,4,4,1,3",Instant Discounts
26–35,Male,Bachelor's,<10k,City A,Self-employed,Weekly,441.01,Credit Card,Household Supplies,Moderately,Sometimes,Morning,No,Sometimes,5,Yes,"Free Products, Cashback",Faster billing,Maybe,127.9,Yes,"Lack of variety, Long queues","4,4,2,3,4",Instant Discounts
18–25,Male,Master's,<10k,City D,Employed,Weekly,330.47,UPI,"Household Supplies, Snacks",Strongly,Sometimes,Evening,Yes,Never,4,Yes,"Exclusive Discounts, Points",More offers,No,115.18,Yes,Lack of variety,"3,5,2,3,3",Instant Discounts
60+,Female,Bachelor's,30k–50k,City A,Employed,Monthly,437.98,Credit Card,"Household Supplies, Fresh Produce, Snacks",Slightly,Sometimes,Evening,No,Always,8,Yes,"Exclusive Discounts, Points",More offers,Maybe,96.55,Depends,"Lack of variety, Price inconsistency","3,5,3,5,4",More Points
46–60,Female,Master's,30k–50k,City D,Unemployed,Weekly,574.28,Cash,Snacks,Slightly,Sometimes,Morning,No,Always,8,Yes,"Points, Exclusive Discounts",More offers,Maybe,154.55,Yes,"Product unavailability, Long queues","3,5,3,3,5",Instant Discounts
18–25,Male,Master's,10k–30k,City A,Retired,Daily,667.04,Credit Card,"Household Supplies, Dairy",Moderately,Sometimes,Afternoon,No,Rarely,5,Yes,"Points, Free Products",More offers,Maybe,178.99,Yes,"Poor customer service, Product unavailability, Price inconsistency","4,4,3,3,5",Cashback
46–60,Male,High school,30k–50k,City C,Employed,Monthly,513.34,Others,"Snacks, Dairy",Strongly,Always,Afternoon,Yes,Rarely,4,Yes,"Exclusive Discounts, Free Products",More offers,Maybe,50.3,Yes,Product unavailability,"5,4,2,4,4",Personalized Offers
46–60,Male,Bachelor's,10k–30k,City D,Student,Bi-weekly,658.18,Credit Card,"Dairy, Frozen Foods, Beverages",Moderately,Sometimes,Evening,No,Sometimes,2,Yes,"Exclusive Discounts, Free Products",Better variety,Maybe,182.3,Yes,"Product unavailability, Poor customer service","3,5,2,2,4",Cashback
26–35,Non-binary,Master's,30k–50k,City D,Student,Weekly,337.02,Mobile Wallet,"Household Supplies, Snacks",Moderately,Sometimes,Afternoon,Yes,Sometimes,7,Yes,"Free Products, Points",Improved customer service,No,217.53,Depends,Product unavailability,"3,4,2,3,3",More Points
26–35,Male,Bachelor's,10k–30k,City D,Student,Weekly,446.81,Credit Card,Frozen Foods,Strongly,Always,Afternoon,No,Sometimes,5,Yes,"Cashback, Free Products",More offers,Maybe,59.54,Depends,"Product unavailability, Poor customer service","5,3,4,1,5",Personalized Offers
26–35,Female,High school,50k–100k,City D,Self-employed,Rarely,465.37,Cash,Beverages,Strongly,Sometimes,Night,No,Rarely,3,Maybe,"Points, Free Products",More offers,No,175.24,Yes,"Product unavailability, Poor customer service","4,4,4,3,3",Cashback
18–25,Female,High school,50k–100k,City D,Unemployed,Monthly,486.25,Mobile Wallet,"Beverages, Fresh Produce, Frozen Foods",Not at all,Sometimes,Morning,Yes,Always,9,Yes,"Priority Checkout, Exclusive Discounts",Better variety,No,218.12,Yes,"Long queues, Lack of variety, Product unavailability","5,5,5,3,5",Cashback
26–35,Male,Bachelor's,30k–50k,City A,Employed,Monthly,510.09,UPI,Dairy,Strongly,Sometimes,Night,Yes,Sometimes,9,Yes,"Priority Checkout, Free Products",More offers,Yes,162.95,Depends,Poor customer service,"5,4,3,4,4",Personalized Offers
46–60,Male,Doctorate,10k–30k,City B,Retired,Bi-weekly,582.91,Mobile Wallet,Household Supplies,Not at all,Sometimes,Morning,Yes,Always,10,Yes,"Exclusive Discounts, Free Products",Better variety,Yes,109.44,No,"Product unavailability, Lack of variety","4,3,3,2,3",More Points
18–25,Male,Bachelor's,10k–30k,City B,Employed,Bi-weekly,446.62,UPI,"Beverages, Dairy, Household Supplies",Moderately,Sometimes,Afternoon,Yes,Rarely,8,Maybe,"Cashback, Exclusive Discounts",More offers,Yes,166.73,Depends,Poor customer service,"3,3,4,2,5",Cashback
26–35,Female,Master's,50k–100k,City B,Homemaker,Rarely,516.68,Credit Card,"Frozen Foods, Dairy",Slightly,Never,Afternoon,Yes,Sometimes,1,Yes,"Cashback, Exclusive Discounts",More offers,Yes,71.25,Yes,Long queues,"3,3,2,5,5",Cashback
26–35,Female,Bachelor's,10k–30k,City B,Homemaker,Rarely,494.59,Cash,Frozen Foods,Moderately,Sometimes,Morning,No,Sometimes,3,No,"Free Products, Points",More offers,Yes,101.25,Yes,"Price inconsistency, Long queues, Poor customer service","3,4,5,2,5",Personalized Offers
26–35,Female,Bachelor's,10k–30k,City C,Employed,Weekly,388.89,UPI,Dairy,Moderately,Never,Morning,Yes,Always,2,Yes,"Points, Free Products",More offers,Maybe,76.04,No,"Poor customer service, Long queues, Lack of variety","3,5,3,5,5",More Points
46–60,Female,Master's,<10k,City A,Employed,Monthly,486.36,Credit Card,"Dairy, Household Supplies",Strongly,Sometimes,Afternoon,Yes,Always,4,Yes,"Cashback, Exclusive Discounts",Improved customer service,Yes,39.17,Yes,"Poor customer service, Long queues, Lack of variety","3,3,4,3,5",Instant Discounts
26–35,Male,Master's,30k–50k,City C,Self-employed,Weekly,482.76,Mobile Wallet,"Fresh Produce, Household Supplies",Moderately,Never,Night,Yes,Rarely,2,Yes,"Exclusive Discounts, Free Products",More offers,Yes,122.49,No,"Poor customer service, Product unavailability","4,5,2,2,5",More Points
26–35,Non-binary,High school,30k–50k,City A,Student,Weekly,480.19,UPI,"Dairy, Snacks, Fresh Produce",Moderately,Never,Afternoon,Yes,Rarely,8,Yes,"Points, Exclusive Discounts",Improved customer service,No,138.24,Yes,Poor customer service,"3,4,4,5,3",More Points
36–45,Female,Bachelor's,50k–100k,City B,Employed,Bi-weekly,503.81,Credit Card,"Fresh Produce, Beverages, Dairy",Slightly,Sometimes,Evening,Yes,Rarely,1,Yes,"Cashback, Points",Faster billing,Yes,159.74,No,"Product unavailability, Long queues","4,3,2,2,4",Cashback
26–35,Male,High school,10k–30k,City C,Employed,Weekly,509.08,UPI,"Snacks, Dairy, Beverages",Strongly,Sometimes,Evening,No,Rarely,4,Yes,"Points, Priority Checkout",Improved customer service,Maybe,0.0,Yes,"Lack of variety, Price inconsistency, Long queues","5,5,3,1,3",Personalized Offers
18–25,Non-binary,Bachelor's,10k–30k,City D,Unemployed,Rarely,448.12,Cash,"Fresh Produce, Snacks",Strongly,Sometimes,Evening,Yes,Always,5,Yes,"Points, Priority Checkout",More offers,Yes,130.96,Yes,"Poor customer service, Lack of variety","4,4,3,5,5",Instant Discounts
26–35,Female,Master's,50k–100k,City C,Employed,Weekly,652.73,Credit Card,Snacks,Slightly,Sometimes,Evening,No,Rarely,10,Yes,"Points, Exclusive Discounts",More offers,Yes,124.73,No,"Poor customer service, Lack of variety, Price inconsistency","5,3,4,2,4",Cashback
18–25,Female,High school,50k–100k,City C,Retired,Bi-weekly,359.66,Cash,"Dairy, Fresh Produce, Frozen Foods",Strongly,Never,Afternoon,Yes,Always,4,Yes,"Cashback, Exclusive Discounts",Better variety,Maybe,54.56,No,Lack of variety,"3,3,3,4,4",Cashback
18–25,Female,Bachelor's,10k–30k,City A,Employed,Rarely,413.48,UPI,"Dairy, Snacks",Moderately,Never,Morning,No,Always,8,Yes,"Cashback, Points",More offers,No,93.33,No,Lack of variety,"3,3,3,2,5",More Points
26–35,Female,Bachelor's,30k–50k,City C,Homemaker,Rarely,833.6,Credit Card,"Fresh Produce, Frozen Foods",Moderately,Sometimes,Afternoon,Yes,Rarely,2,Yes,"Cashback, Priority Checkout",Improved customer service,Maybe,165.26,Depends,Long queues,"5,4,2,4,4",Instant Discounts
26–35,Female,Doctorate,10k–30k,City A,Self-employed,Weekly,375.44,UPI,Dairy,Strongly,Never,Morning,No,Rarely,9,Maybe,"Free Products, Cashback",Faster billing,Yes,125.84,No,Poor customer service,"3,3,5,4,3",Cashback
46–60,Male,Other,50k–100k,City B,Retired,Weekly,337.55,UPI,"Beverages, Frozen Foods",Not at all,Never,Morning,No,Rarely,2,Yes,"Priority Checkout, Cashback",Better variety,Yes,118.93,No,Long queues,"4,3,3,5,4",More Points
26–35,Male,High school,10k–30k,City B,Employed,Bi-weekly,588.14,Mobile Wallet,Snacks,Strongly,Sometimes,Morning,No,Rarely,2,Yes,"Exclusive Discounts, Free Products",More offers,No,173.58,No,Product unavailability,"4,3,3,3,3",Personalized Offers
26–35,Female,Master's,50k–100k,City A,Self-employed,Weekly,250.75,Mobile Wallet,"Dairy, Household Supplies",Moderately,Sometimes,Night,No,Never,2,Yes,"Priority Checkout, Cashback",Better variety,Yes,258.89,Yes,Long queues,"4,3,2,4,4",More Points
36–45,Male,Bachelor's,30k–50k,City B,Self-employed,Rarely,471.77,Mobile Wallet,"Frozen Foods, Fresh Produce, Snacks",Slightly,Sometimes,Night,No,Always,10,Yes,"Points, Cashback",Better variety,Yes,105.45,Depends,"Lack of variety, Price inconsistency, Poor customer service","5,3,4,2,4",Cashback
18–25,Male,Bachelor's,30k–50k,City D,Employed,Rarely,757.5,Credit Card,"Dairy, Frozen Foods",Strongly,Sometimes,Morning,No,Never,8,Yes,"Points, Free Products",Improved customer service,Yes,134.81,Yes,"Lack of variety, Product unavailability, Long queues","3,4,2,5,5",Cashback
36–45,Male,Master's,<10k,City D,Student,Weekly,314.61,Mobile Wallet,Snacks,Strongly,Always,Morning,No,Rarely,3,Yes,"Points, Cashback",Faster billing,Maybe,66.5,No,"Long queues, Lack of variety, Product unavailability","4,4,2,3,4",More Points
18–25,Male,Doctorate,30k–50k,City B,Student,Weekly,262.16,Mobile Wallet,"Beverages, Dairy, Snacks",Not at all,Sometimes,Morning,No,Rarely,10,Yes,"Points, Exclusive Discounts",Improved customer service,Maybe,248.69,Yes,"Product unavailability, Poor customer service","5,5,2,2,4",Cashback
60+,Female,Other,30k–50k,City A,Student,Weekly,320.1,Others,"Household Supplies, Beverages, Frozen Foods",Slightly,Sometimes,Afternoon,No,Rarely,10,No,"Cashback, Free Products",Improved customer service,Yes,87.61,Yes,"Price inconsistency, Poor customer service, Product unavailability","4,5,5,1,5",Cashback
18–25,Female,Bachelor's,10k–30k,City A,Retired,Rarely,607.8,UPI,"Snacks, Fresh Produce",Strongly,Sometimes,Morning,Yes,Sometimes,8,Yes,"Priority Checkout, Exclusive Discounts",Improved customer service,Yes,11.53,Yes,"Lack of variety, Poor customer service","4,5,5,3,5",Instant Discounts
26–35,Male,Bachelor's,30k–50k,City B,Employed,Weekly,634.97,UPI,"Household Supplies, Dairy",Not at all,Never,Night,Yes,Rarely,7,Yes,"Points, Priority Checkout",Better variety,Maybe,157.31,No,"Long queues, Lack of variety","3,4,5,3,4",More Points
